PROPERTY_ID,SALE_PRICE,SALE_DATE,YEAR_BUILT,EFFECTIVE_YEAR_BUILT,LATITUDE,LONGITUDE,STATE,CITY,ZIP,CENSUS_TRACT,LIVING_SQFT,LOT_SQFT,BEDROOMS,FULL_BATHS,HALF_BATHS,GARAGE_SPACES,FIREPLACE_CODE,TOTAL_POPULATION_25PLUS,MALE_BACHELORS_DEGREE,FEMALE_BACHELORS_DEGREE,PCT_BACHELORS_DEGREE,TOTAL_POPULATION,NON_HISPANIC_WHITE_POPULATION,PCT_WHITE,MEDIAN_EARNINGS_TOTAL,MEDIAN_EARNINGS_MALE,MEDIAN_EARNINGS_FEMALE,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_HOME_VALUE,MEDIAN_GROSS_RENT,OWNER_OCCUPIED_UNITS,RENTER_OCCUPIED_UNITS,PCT_OWNER_OCCUPIED,OCCUPIED_UNITS,VACANT_UNITS,MEDIAN_AGE,CIVILIAN_EMPLOYED,CIVILIAN_UNEMPLOYED,UNEMPLOYMENT_RATE,POPULATION_BELOW_POVERTY,POVERTY_RATE,COUNTY_NAME,COUNTY_FIPS,VOTES_GOP,VOTES_DEM,TOTAL_VOTES,PER_GOP,PER_DEM,PER_POINT_DIFF,DEM_MARGIN,REP_MARGIN,CC_LIST_ID
91411774,1900000,2002-07-10,1965,1965,40.817453,-73.738934,ny,great neck,11024,300100,8242,40411,0,6,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,Nassau County,36059,326716,396504,732756,0.4458728417099280,0.5411132764521888,-0.0952404347422607,0.04111327645218876000,-0.05412715829007197500,
92308035,101000,2002-11-15,1950,1950,43.107473,-76.219215,ny,liverpool,13088,013300,960,7700,3,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Onondaga County,36067,90619,138894,234735,0.3860480967899972,0.5917055402901144,-0.2056574435001171,0.09170554029011435000,-0.11395190321000281000,
90831950,303186,2013-08-07,,,40.658021,-73.875994,ny,brooklyn,11208,107800,1054,97139,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Kings County,36047,202772,703310,913246,0.2220343697098043,0.7701210845708604,-0.5480867148610560,0.27012108457086037000,-0.27796563029019570000,
93995905,0,2011-12-12,1945,1945,40.950791,-73.082891,ny,setauket,11733,158001,654,3049,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Suffolk County,36103,381253,381021,771541,0.4941448348175923,0.4938441379006430,0.0003006969169492,-0.00615586209935697900,-0.00585516518240769600,
90950093,625000,2022-07-25,1925,1925,40.590124,-73.928198,ny,brooklyn,11229,062800,1436,1785,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Kings County,36047,202772,703310,913246,0.2220343697098043,0.7701210845708604,-0.5480867148610560,0.27012108457086037000,-0.27796563029019570000,
92895479,138273,2008-03-21,1920,1920,40.604102,-73.820189,ny,broad channel,11693,107201,465,2363,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Queens County,36081,212665,569038,787860,0.2699273982687279,0.7222577615312366,-0.4523303632625086,0.22225776153123655000,-0.23007260173127210000,
90014023,180000,2024-11-12,1900,1900,42.954116,-78.904971,ny,buffalo,14207,005802,1677,3150,6,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Erie County,36029,197527,267174,473021,0.4175861113988596,0.5648248175028170,-0.1472387061039573,0.06482481750281699000,-0.08241388860114040000,
93612258,126000,2017-02-14,1987,1987,42.812248,-73.939054,ny,schenectady,12305,021001,2574,1053,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Schenectady County,36093,30741,42465,74826,0.4108331328682543,0.5675166386015557,-0.1566835057333013,0.06751663860155566000,-0.08916686713174571000,
90588669,132000,2013-09-11,2000,2007,43.717821,-74.954005,ny,old forge,13420,011502,1080,47916,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Herkimer County,36043,18870,9937,29319,0.6436099457689552,0.3389269756812988,0.3046829700876564,-0.16107302431870119000,0.14360994576895525000,
91355167,119900,2015-09-04,1995,1995,43.199791,-77.454827,ny,webster,14580,011209,1232,1307,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Monroe County,36055,145661,225746,380983,0.3823293952748547,0.5925356249491447,-0.2102062296742899,0.09253562494914469000,-0.11767060472514529000,
92374064,242500,2002-09-20,1991,2000,42.862726,-77.287296,ny,canandaigua,14424,050601,2422,6534,4,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,Ontario County,36069,29039,29025,59674,0.4866273418909407,0.4863927338539397,0.0002346080370010,-0.01360726614606028200,-0.01337265810905929900,
94520801,144900,2005-04-29,1890,1970,41.715117,-74.395509,ny,ellenville,12428,954800,1320,4356,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,Ulster County,36111,37590,57970,97420,0.3858550605625128,0.5950523506466845,-0.2091972900841716,0.09505235064668449000,-0.11414493943748721000,
90397805,270000,2020-04-29,2004,2004,44.832417,-74.395201,ny,north bangor,12966,950301,1980,228254,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,Franklin County,36033,9668,9253,19268,0.5017645837658293,0.4802262819182064,0.0215383018476229,-0.01977371808179362300,0.00176458376582933060,
91767128,650000,2025-08-21,1921,1921,40.646327,-73.610812,ny,baldwin,11510,413700,1126,5950,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Nassau County,36059,326716,396504,732756,0.4458728417099280,0.5411132764521888,-0.0952404347422607,0.04111327645218876000,-0.05412715829007197500,
90921746,0,2022-07-28,1965,1965,40.632112,-73.911582,ny,brooklyn,11236,099800,3139,2900,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Kings County,36047,202772,703310,913246,0.2220343697098043,0.7701210845708604,-0.5480867148610560,0.27012108457086037000,-0.27796563029019570000,
91208719,200000,2023-02-24,1956,2004,43.150688,-77.697047,ny,rochester,14624,014302,1152,13068,3,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Monroe County,36055,145661,225746,380983,0.3823293952748547,0.5925356249491447,-0.2102062296742899,0.09253562494914469000,-0.11767060472514529000,
93319907,826000,2024-07-30,1967,1967,41.11461,-74.017578,ny,nanuet,10954,011404,2332,18295,4,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,Rockland County,36087,73186,75802,150369,0.4867093616370395,0.5041065645179525,-0.0173972028809130,0.00410656451795254900,-0.01329063836296051600,
